Sample,Cruise_program,Set
W332,IYS_GoA_2019,1
W333,IYS_GoA_2019,2
W335,IYS_GoA_2019,3
W337,IYS_GoA_2019,4
W339,IYS_GoA_2019,5
W341,IYS_GoA_2019,6
W343,IYS_GoA_2019,7
W348,IYS_GoA_2019,8
W347,IYS_GoA_2019,8
W351,IYS_GoA_2019,9
W353,IYS_GoA_2019,10
W355,IYS_GoA_2019,11
W357,IYS_GoA_2019,12
W359,IYS_GoA_2019,13
W371,IYS_GoA_2019,14
W369,IYS_GoA_2019,15
W368,IYS_GoA_2019,16
W361,IYS_GoA_2019,17
W363,IYS_GoA_2019,18
W366,IYS_GoA_2019,19
W373,IYS_GoA_2019,20
W375,IYS_GoA_2019,21
W378,IYS_GoA_2019,22
W379,IYS_GoA_2019,23
W381,IYS_GoA_2019,24
W382,IYS_GoA_2019,24
W383,IYS_GoA_2019,25
W385,IYS_GoA_2019,26
W387,IYS_GoA_2019,27
W391,IYS_GoA_2019,28
W389,IYS_GoA_2019,29
W393,IYS_GoA_2019,30
W395,IYS_GoA_2019,31
W397,IYS_GoA_2019,32
W399,IYS_GoA_2019,33
W401,IYS_GoA_2019,34
W403,IYS_GoA_2019,35
W405,IYS_GoA_2019,36
W407,IYS_GoA_2019,37
W409,IYS_GoA_2019,38
W411,IYS_GoA_2019,39
W413,IYS_GoA_2019,40
W415,IYS_GoA_2019,41
W417,IYS_GoA_2019,42
W419,IYS_GoA_2019,43
W422,IYS_GoA_2019,44
W423,IYS_GoA_2019,45
W425,IYS_GoA_2019,46
W427,IYS_GoA_2019,47
W429,IYS_GoA_2019,48
W431,IYS_GoA_2019,49
W433,IYS_GoA_2019,50
W435,IYS_GoA_2019,51
W437,IYS_GoA_2019,52
W439,IYS_GoA_2019,53
W441,IYS_GoA_2019,54
W443,IYS_GoA_2019,55
W445,IYS_GoA_2019,56
W447,IYS_GoA_2019,57
W449,IYS_GoA_2019,58
W451,IYS_GoA_2019,59
W454,IYS_GoA_2019,60
W454,IYS_GoA_2019,H2O control
W455,IYS_GoA_2019,H2O control
W345,IYS_GoA_2019,H2O control
W1747,IYS_GoA_2020,1
W1750,IYS_GoA_2020,2
W1752,IYS_GoA_2020,3
W1753,IYS_GoA_2020,4
W1756,IYS_GoA_2020,6
W1758,IYS_GoA_2020,7
W1760,IYS_GoA_2020,8
W1761,IYS_GoA_2020,9
W1762,IYS_GoA_2020,9
W1764,IYS_GoA_2020,10
W1766,IYS_GoA_2020,11
W1768,IYS_GoA_2020,12
W1770,IYS_GoA_2020,13
W1772,IYS_GoA_2020,14
W1774,IYS_GoA_2020,16
W1776,IYS_GoA_2020,17
W1778,IYS_GoA_2020,18
W1780,IYS_GoA_2020,20
W1782,IYS_GoA_2020,21
W1783,IYS_GoA_2020,22
W1784,IYS_GoA_2020,22
W1786,IYS_GoA_2020,23
W1788,IYS_GoA_2020,24
W1790,IYS_GoA_2020,25
W1791,IYS_GoA_2020,26
W1793,IYS_GoA_2020,27
W1796,IYS_GoA_2020,28
W1797,IYS_GoA_2020,29
W1799,IYS_GoA_2020,30
W2101,IYS_GoA_2020,31
W2051,IYS_GoA_2020,32
W2053,IYS_GoA_2020,33
W2055,IYS_GoA_2020,34
W2057,IYS_GoA_2020,35
W2059,IYS_GoA_2020,36
W2061,IYS_GoA_2020,37
W2097,IYS_GoA_2020,38
W2099,IYS_GoA_2020,39
W2065,IYS_GoA_2020,40
W2095,IYS_GoA_2020,41
W2067,IYS_GoA_2020,42
W2069,IYS_GoA_2020,43
W2073,IYS_GoA_2020,44
W2075,IYS_GoA_2020,45
W2077,IYS_GoA_2020,46
W2079,IYS_GoA_2020,47
W1746,IYS_GoA_2020,H2O control
W2082,IYS_GoA_2020,H2O control
W2063,IYS_GoA_2020,H2O control
extraction_neg1,NA,NA
extraction_neg2,NA,NA
extraction_neg3,NA,NA
